idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
601,2023-11-17,10:17:07,61
602,2023-11-17,10:43:41,3121
603,2023-11-17,11:05:32,61
604,2023-11-17,11:06:26,21
605,2023-11-17,11:06:58,61
606,2023-11-17,11:07:18,1121
607,2023-11-17,11:07:52,111121
608,2023-11-17,12:02:05,61
609,2023-11-17,12:03:42,3121
610,2023-11-17,12:03:43,3121
611,2023-11-17,12:04:07,3181
612,2023-11-17,12:04:41,3151
613,2023-11-17,12:22:09,61
614,2023-11-17,12:44:53,61
615,2023-11-17,12:46:26,11111121
616,2023-11-17,12:57:51,511131
617,2023-11-17,13:53:46,21
618,2023-11-17,13:57:01,511121
619,2023-11-17,14:06:58,61
620,2023-11-17,16:47:36,5121
621,2023-11-17,17:08:37,3141
622,2023-11-17,19:53:50,61
623,2023-11-17,19:54:20,1121
624,2023-11-17,20:56:31,21
625,2023-11-17,21:47:12,61
626,2023-11-18,09:47:38,21
627,2023-11-18,11:57:20,21
628,2023-11-18,13:18:47,61
629,2023-11-18,13:27:10,111121
630,2023-11-18,16:40:38,3111
631,2023-11-20,08:13:18,21
632,2023-11-20,08:37:09,61
633,2023-11-20,08:39:34,11111121
634,2023-11-20,08:52:47,61
635,2023-11-20,09:21:34,11111121
636,2023-11-20,10:11:25,11111121
637,2023-11-20,10:34:19,21
638,2023-11-20,10:49:36,61
639,2023-11-20,10:58:21,1121
640,2023-11-20,11:01:19,21
641,2023-11-20,11:28:13,111121
642,2023-11-20,11:40:01,11111121
643,2023-11-20,13:30:01,111121
644,2023-11-20,13:31:12,11111121
645,2023-11-20,14:24:19,111121
646,2023-11-20,14:50:29,111121
647,2023-11-20,15:34:53,111121
648,2023-11-20,16:20:19,61
649,2023-11-20,16:23:35,61
650,2023-11-20,17:12:36,111121
651,2023-11-20,18:01:14,111121
652,2023-11-20,19:02:33,111121
653,2023-11-20,19:34:59,61
654,2023-11-20,21:32:44,11111121
655,2023-11-20,21:36:53,21
656,2023-11-20,22:09:35,11111121
657,2023-11-21,01:25:48,111121
658,2023-11-21,07:00:50,111121
659,2023-11-21,07:02:00,11111121
660,2023-11-21,08:07:38,111121
661,2023-11-21,08:21:34,21
662,2023-11-21,08:50:00,61
663,2023-11-21,08:59:39,111121
664,2023-11-21,09:04:12,61
665,2023-11-21,09:21:57,61
666,2023-11-21,09:22:21,21
667,2023-11-21,09:39:24,3151
668,2023-11-21,10:18:35,61
669,2023-11-21,10:23:40,11111121
670,2023-11-21,10:31:30,21
671,2023-11-21,10:31:45,61
672,2023-11-21,11:10:25,21
673,2023-11-21,12:05:04,511121
674,2023-11-21,13:24:22,21
675,2023-11-21,13:40:52,61
676,2023-11-21,13:45:00,61
677,2023-11-21,14:30:58,3151
678,2023-11-21,14:31:13,3141
679,2023-11-21,16:17:44,21
680,2023-11-21,17:21:15,3111
681,2023-11-21,17:22:15,11111121
682,2023-11-21,20:23:13,21
683,2023-11-21,21:31:36,61
684,2023-11-21,21:31:55,11111121
685,2023-11-22,08:35:48,21
686,2023-11-22,10:03:08,21
687,2023-11-22,10:51:50,21
688,2023-11-22,11:00:38,11111121
689,2023-11-22,11:03:26,11111121
690,2023-11-22,11:13:41,61
691,2023-11-22,11:15:36,21
692,2023-11-22,13:48:15,111121
693,2023-11-22,14:37:51,1121
694,2023-11-22,15:48:15,21
695,2023-11-22,18:25:06,111121
696,2023-11-22,18:25:33,3121
697,2023-11-22,18:28:25,3111
698,2023-11-22,21:07:50,61
699,2023-11-22,21:38:58,21
700,2023-11-23,06:42:57,3121
701,2023-11-23,10:58:31,1121
702,2023-11-23,12:37:20,11111121
703,2023-11-23,12:41:52,4111
704,2023-11-23,12:46:43,21
705,2023-11-23,16:26:48,4111
706,2023-11-23,16:26:54,511131
707,2023-11-23,16:44:08,21
708,2023-11-23,17:19:09,61
709,2023-11-23,17:42:10,3121
710,2023-11-23,18:53:44,21
711,2023-11-24,05:45:36,3151
712,2023-11-24,06:39:01,61
713,2023-11-24,06:58:45,111121
714,2023-11-24,06:59:14,11111121
715,2023-11-24,09:40:50,61
716,2023-11-24,09:41:07,21
717,2023-11-24,09:59:56,61
718,2023-11-24,12:52:09,111121
719,2023-11-24,12:58:08,21
720,2023-11-24,12:59:30,111121
721,2023-11-24,14:35:49,21
722,2023-11-24,14:37:45,21
723,2023-11-24,15:17:23,61
724,2023-11-24,15:36:47,61
725,2023-11-24,16:25:03,1121
726,2023-11-24,16:25:25,111121
727,2023-11-24,16:25:55,11111121
728,2023-11-24,17:21:17,1121
729,2023-11-24,19:44:01,3111
730,2023-11-25,11:49:30,61
731,2023-11-25,12:28:19,11111121
732,2023-11-25,20:45:29,1121
733,2023-11-26,13:01:36,61
734,2023-11-26,17:38:17,11111121
735,2023-11-26,22:51:09,21
736,2023-11-26,22:51:31,21
737,2023-11-27,01:24:34,21
738,2023-11-27,01:25:38,61
739,2023-11-27,09:16:37,21
740,2023-11-27,09:32:25,61
741,2023-11-27,10:14:06,3121
742,2023-11-27,12:12:22,61
743,2023-11-27,13:13:03,3111
744,2023-11-27,13:13:22,61
745,2023-11-27,13:54:55,21
746,2023-11-27,14:04:23,111121
747,2023-11-27,14:19:51,61
748,2023-11-27,14:45:36,21
749,2023-11-27,15:02:26,61
750,2023-11-27,15:21:48,11111121
751,2023-11-27,15:26:11,21
752,2023-11-27,15:26:23,11111121
753,2023-11-27,15:48:28,21
754,2023-11-27,16:03:25,11111121
755,2023-11-27,16:04:19,3131
756,2023-11-27,16:05:54,61
757,2023-11-27,16:20:53,21
758,2023-11-27,16:21:06,61
759,2023-11-27,16:22:58,61
760,2023-11-27,16:27:33,11111121
761,2023-11-27,18:23:14,11111121
762,2023-11-27,19:24:06,61
763,2023-11-27,19:24:14,61
